/home/nttung/anaconda3/envs/detectron2/lib/python3.6/site-packages/torchvision/transforms/transforms.py:286: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
wandb: Currently logged in as: nttung1110 (use `wandb login --relogin` to force relogin)
-------Initialize dataset----------
-------Finish initialization----------
wandb: wandb version 0.11.0 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.10.32
wandb: Syncing run sleek-elevator-129
wandb: ⭐️ View project at https://wandb.ai/nttung1110/Thesis
wandb: 🚀 View run at https://wandb.ai/nttung1110/Thesis/runs/35jfm6xo
wandb: Run data is saved locally in /home/nttung/person-in-context/BPA-Net/bash/wandb/run-20210724_181547-35jfm6xo
wandb: Run `wandb offline` to turn off syncing.

[epoch_12, batch_50] loss: 0.039
[epoch_12, batch_100] loss: 0.051
[epoch_12, batch_150] loss: 0.038
[epoch_12, batch_200] loss: 0.050
[epoch_12, batch_250] loss: 0.050
[epoch_12, batch_300] loss: 0.043
[epoch_12, batch_350] loss: 0.037
[epoch_12, batch_400] loss: 0.045
[epoch_12, batch_450] loss: 0.053
[epoch_12, batch_500] loss: 0.033
[epoch_12, batch_550] loss: 0.036
[epoch_12, batch_600] loss: 0.043
[epoch_12, batch_650] loss: 0.038
[epoch_12, batch_700] loss: 0.051
[epoch_12, batch_750] loss: 0.041
[epoch_12, batch_800] loss: 0.050
[epoch_12, batch_850] loss: 0.056
[epoch_12, batch_900] loss: 0.046
[epoch_12, batch_950] loss: 0.052
[epoch_12, batch_1000] loss: 0.048
[epoch_12, batch_1050] loss: 0.047
[epoch_12, batch_1100] loss: 0.046
[epoch_12, batch_1150] loss: 0.039
[epoch_12, batch_1200] loss: 0.057
[epoch_12, batch_1250] loss: 0.033
[epoch_12, batch_1300] loss: 0.056
[epoch_12, batch_1350] loss: 0.048
[epoch_13, batch_50] loss: 0.070
[epoch_13, batch_100] loss: 0.034
[epoch_13, batch_150] loss: 0.042
[epoch_13, batch_200] loss: 0.039
[epoch_13, batch_250] loss: 0.036
[epoch_13, batch_300] loss: 0.050
[epoch_13, batch_350] loss: 0.048
[epoch_13, batch_400] loss: 0.045
[epoch_13, batch_450] loss: 0.043
[epoch_13, batch_500] loss: 0.046
[epoch_13, batch_550] loss: 0.038
[epoch_13, batch_600] loss: 0.039
[epoch_13, batch_650] loss: 0.053
[epoch_13, batch_700] loss: 0.048
[epoch_13, batch_750] loss: 0.041
[epoch_13, batch_800] loss: 0.037
[epoch_13, batch_850] loss: 0.034
[epoch_13, batch_900] loss: 0.047
[epoch_13, batch_950] loss: 0.044
[epoch_13, batch_1000] loss: 0.035
[epoch_13, batch_1050] loss: 0.051
[epoch_13, batch_1100] loss: 0.046
[epoch_13, batch_1150] loss: 0.046
